['1', '9', '25885, 0, 1190, 27075', '0.4', '0.3', '1', '2048', '8.484743637000065']
['1', '11', '25885, 0, 1165, 27050', '0.4', '0.6', '1', '2048', '8.196668971999316']
['2', '11', '12996, 0, 174, 13170', '0.4', '0.6', '1', '2048', '2.682139279000694']
['2', '11', '12960, 0, 182, 13142', '0.4', '0.6', '1', '2048', '2.175331918999291']
['2', '11', '12966, 0, 201, 13167', '0.4', '0.6', '1', '2048', '3.15435042900026']
['3', '11', '12884, 0, 55, 12939', '0.4', '0.6', '1', '2048', '10.023717615998976']
['3', '11', '12884, 0, 46, 12930', '0.4', '0.6', '1', '2048', '2.208747876000416']
['3', '11', '12884, 0, 62, 12946', '0.4', '0.6', '1', '2048', '4.374723486998846']
['1', '13', '28625, 0, 1429, 30054', '0.4', '0.7', '1', '2048', '9.264622328999394']
['3', '13', '14246, 0, 59, 14305', '0.4', '0.7', '1', '2048', '1.5444212620022881']
['5', '13', '14307, 0, 359, 14666', '0.4', '0.7', '1', '2048', '4.197812950998923']
['5', '13', '14307, 0, 395, 14702', '0.4', '0.7', '1', '2048', '3.9920349109997915']
['7', '13', '25, 0, 75, 100', '0.4', '0.7', '1', '2048', '0.9801940430006653']
['1', '13', '11265, 0, 885, 12150', '0.4', '0.7', '1', '2048', '7.975983529002406']
['1', '13', '28625, 0, 1479, 30104', '0.4', '0.7', '1', '2048', '10.196691701999953']
['1', '13', '11265, 0, 970, 12235', '0.4', '0.7', '1', '2048', '9.093150142995']
['1', '13', '11265, 0, 1050, 12315', '0.4', '0.7', '1', '2048', '9.787614312997903']
